Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_141237823799,1093,731,75,75
Participant01,Video01,20240718_141238023726,1094,731,76,76
Participant01,Video01,20240718_141238196161,1086,730,80,80
Participant01,Video01,20240718_141238326042,1091,694,96,96
Participant01,Video01,20240718_141238457395,1091,682,89,89
Participant01,Video01,20240718_141238593292,1088,671,88,88
Participant01,Video01,20240718_141238593321,833,694,80,80
Participant01,Video01,20240718_141238687187,1084,663,90,90
Participant01,Video01,20240718_141238687217,836,680,88,88
Participant01,Video01,20240718_141238791716,1078,653,90,90
Participant01,Video01,20240718_141238791748,845,673,80,80
Participant01,Video01,20240718_141238891000,1082,643,83,83
Participant01,Video01,20240718_141238891037,846,656,82,82
Participant01,Video01,20240718_141238989989,1086,633,78,78
Participant01,Video01,20240718_141238990020,852,641,80,80
Participant01,Video01,20240718_141239100631,1088,624,78,78
Participant01,Video01,20240718_141239100679,861,626,84,84
Participant01,Video01,20240718_141239225787,1093,622,72,72
Participant01,Video01,20240718_141239225824,877,623,74,74
Participant01,Video01,20240718_141239317526,1098,619,71,71
Participant01,Video01,20240718_141239317557,882,612,82,82
Participant01,Video01,20240718_141239429146,1098,621,69,69
Participant01,Video01,20240718_141239429180,885,610,82,82
Participant01,Video01,20240718_141239515579,888,607,86,86
Participant01,Video01,20240718_141239515619,1101,621,70,70
Participant01,Video01,20240718_141239623645,886,605,87,87
Participant01,Video01,20240718_141239623681,1100,621,70,70
Participant01,Video01,20240718_141239721576,954,567,36,36
Participant01,Video01,20240718_141239721601,1098,620,71,71
Participant01,Video01,20240718_141239721611,883,602,91,91
Participant01,Video01,20240718_141239818877,880,605,91,91
Participant01,Video01,20240718_141239818906,1096,622,71,71
Participant01,Video01,20240718_141239921045,881,606,88,88
Participant01,Video01,20240718_141239921075,1096,623,70,70
Participant01,Video01,20240718_141240020067,883,608,86,86
Participant01,Video01,20240718_141240020094,1093,624,70,70
Participant01,Video01,20240718_141240123553,887,616,77,77
Participant01,Video01,20240718_141240123581,1096,626,66,66
Participant01,Video01,20240718_141240222096,883,610,86,86
Participant01,Video01,20240718_141240222123,1093,622,72,72
Participant01,Video01,20240718_141240320127,1095,625,69,69
Participant01,Video01,20240718_141240320164,885,611,84,84
Participant01,Video01,20240718_141240437346,940,642,46,46
Participant01,Video01,20240718_141240556483,1088,610,74,74
Participant01,Video01,20240718_141240556519,878,602,85,85
Participant01,Video01,20240718_141240652475,876,600,78,78
Participant01,Video01,20240718_141240652505,1086,607,69,69
Participant01,Video01,20240718_141240757260,868,600,75,75
Participant01,Video01,20240718_141240757294,1071,593,80,80
Participant01,Video01,20240718_141240853786,1062,593,72,72
Participant01,Video01,20240718_141240853816,861,604,65,65
Participant01,Video01,20240718_141240953140,1054,592,69,69
Participant01,Video01,20240718_141240953182,853,609,60,60
Participant01,Video01,20240718_141241049767,1046,586,77,77
Participant01,Video01,20240718_141241049798,848,604,67,67
Participant01,Video01,20240718_141241154452,1046,591,72,72
Participant01,Video01,20240718_141241154477,845,603,68,68
Participant01,Video01,20240718_141241257479,1046,592,73,73
Participant01,Video01,20240718_141241257512,844,603,72,72
Participant01,Video01,20240718_141241348679,1000,700,46,46
Participant01,Video01,20240718_141241457024,1051,598,67,67
Participant01,Video01,20240718_141241457053,1032,611,51,51
Participant01,Video01,20240718_141241457064,852,614,57,57
Participant01,Video01,20240718_141241554884,1048,598,70,70
Participant01,Video01,20240718_141241554916,850,611,65,65
Participant01,Video01,20240718_141241658552,1052,600,67,67
Participant01,Video01,20240718_141241658575,853,614,61,61
Participant01,Video01,20240718_141241756509,1053,604,61,61
Participant01,Video01,20240718_141241756533,859,624,47,47
Participant01,Video01,20240718_141241758588,1001,703,51,51
Participant01,Video01,20240718_141241858079,1053,601,66,66
Participant01,Video01,20240718_141241858106,853,618,55,55
Participant01,Video01,20240718_141241858114,1032,614,51,51
Participant01,Video01,20240718_141241958998,1050,597,71,71
Participant01,Video01,20240718_141241959021,849,616,58,58
Participant01,Video01,20240718_141242049410,1049,598,71,71
Participant01,Video01,20240718_141242049439,850,615,60,60
Participant01,Video01,20240718_141242160977,1049,596,72,72
Participant01,Video01,20240718_141242161002,850,616,58,58
Participant01,Video01,20240718_141242250557,1051,603,64,64
Participant01,Video01,20240718_141242250603,848,617,57,57
Participant01,Video01,20240718_141242356403,1050,599,70,70
Participant01,Video01,20240718_141242356427,849,616,59,59
Participant01,Video01,20240718_141242455959,1050,599,69,69
Participant01,Video01,20240718_141242455983,1035,616,46,46
Participant01,Video01,20240718_141242455991,849,617,58,58
Participant01,Video01,20240718_141242558515,1049,598,72,72
Participant01,Video01,20240718_141242558535,848,617,59,59
Participant01,Video01,20240718_141242654767,1050,603,65,65
Participant01,Video01,20240718_141242654794,852,617,58,58
Participant01,Video01,20240718_141242755450,1049,599,73,73
Participant01,Video01,20240718_141242755475,847,615,64,64
Participant01,Video01,20240718_141242917321,1048,600,71,71
Participant01,Video01,20240718_141242917374,849,618,58,58
Participant01,Video01,20240718_141243018559,1050,601,71,71
Participant01,Video01,20240718_141243018587,848,617,60,60
Participant01,Video01,20240718_141243117549,1052,600,72,72
Participant01,Video01,20240718_141243117578,849,614,65,65
Participant01,Video01,20240718_141243225908,1050,600,73,73
Participant01,Video01,20240718_141243225939,849,614,66,66
Participant01,Video01,20240718_141243317522,858,623,54,54
Participant01,Video01,20240718_141243317555,1055,606,66,66
Participant01,Video01,20240718_141243427046,1053,608,74,74
Participant01,Video01,20240718_141243521961,1055,611,69,69
Participant01,Video01,20240718_141243521983,851,627,60,60
Participant01,Video01,20240718_141243621103,1049,610,82,82
Participant01,Video01,20240718_141243621135,841,621,81,81
Participant01,Video01,20240718_141243724636,1051,614,85,85
Participant01,Video01,20240718_141243724670,845,631,74,74
Participant01,Video01,20240718_141243828641,1059,620,82,82
Participant01,Video01,20240718_141243828668,845,636,72,72
Participant01,Video01,20240718_141243931653,1054,620,95,95
Participant01,Video01,20240718_141243931682,842,636,81,81
Participant01,Video01,20240718_141243931691,1028,638,77,77
Participant01,Video01,20240718_141244023540,1056,628,90,90
Participant01,Video01,20240718_141244023567,843,642,79,79
Participant01,Video01,20240718_141244127604,1060,631,89,89
Participant01,Video01,20240718_141244127630,843,646,79,79
Participant01,Video01,20240718_141244228715,1060,632,90,90
Participant01,Video01,20240718_141244228740,843,646,78,78
Participant01,Video01,20240718_141244324434,842,646,83,83
Participant01,Video01,20240718_141244324463,1056,628,99,99
Participant01,Video01,20240718_141244324472,1033,651,78,78
Participant01,Video01,20240718_141244424498,1059,629,98,98
Participant01,Video01,20240718_141244424520,842,648,81,81
Participant01,Video01,20240718_141244524490,845,650,79,79
Participant01,Video01,20240718_141244524517,1065,633,95,95
Participant01,Video01,20240718_141244625709,1065,631,97,97
Participant01,Video01,20240718_141244625731,848,649,80,80
Participant01,Video01,20240718_141244725614,1084,631,95,95
Participant01,Video01,20240718_141244725636,870,641,82,82
Participant01,Video01,20240718_141244827613,908,635,82,82
Participant01,Video01,20240718_141244827639,1120,635,86,86
Participant01,Video01,20240718_141244924523,938,632,83,83
Participant01,Video01,20240718_141244924543,1008,660,51,51
Participant01,Video01,20240718_141244924552,1143,640,82,82
Participant01,Video01,20240718_141245027806,961,628,84,84
Participant01,Video01,20240718_141245029233,1156,645,79,79
Participant01,Video01,20240718_141245123971,974,623,87,87
Participant01,Video01,20240718_141245123999,1169,651,70,70
Participant01,Video01,20240718_141245227524,989,627,77,77
Participant01,Video01,20240718_141245227550,1182,657,61,61
Participant01,Video01,20240718_141245227558,1061,654,53,53
Participant01,Video01,20240718_141245324489,996,620,88,88
Participant01,Video01,20240718_141245324515,1185,657,65,65
Participant01,Video01,20240718_141245324523,1068,653,55,55
Participant01,Video01,20240718_141245429185,1002,620,88,88
Participant01,Video01,20240718_141245429210,1190,658,65,65
Participant01,Video01,20240718_141245524433,999,619,86,86
Participant01,Video01,20240718_141245524455,1189,659,62,62
Participant01,Video01,20240718_141245524462,1069,650,62,62
Participant01,Video01,20240718_141245627308,1002,618,86,86
Participant01,Video01,20240718_141245627327,1196,654,66,66
Participant01,Video01,20240718_141245627334,1073,654,56,56
Participant01,Video01,20240718_141245725361,1004,620,85,85
Participant01,Video01,20240718_141245725386,1186,654,68,68
Participant01,Video01,20240718_141245827927,999,617,89,89
Participant01,Video01,20240718_141245827953,1072,655,55,55
Participant01,Video01,20240718_141245827962,1188,657,67,67
Participant01,Video01,20240718_141245923226,999,615,91,91
Participant01,Video01,20240718_141245923246,1075,657,50,50
Participant01,Video01,20240718_141245923256,1188,648,73,73
