Participant ID,Video Name,Timestamp,Eye,X,Y,Width,Height
Participant01,Video01,20240801_200450816349,Left,1032,534,46,46
Participant01,Video01,20240801_200450816349,Right,1070,602,101,101
Participant01,Video01,20240801_200452756909,Left,886,540,79,79
Participant01,Video01,20240801_200452756909,Right,1113,530,94,94
Participant01,Video01,20240801_200454623827,Left,873,567,75,75
Participant01,Video01,20240801_200454623827,Right,1092,556,87,87
Participant01,Video01,20240801_200456553198,Left,842,375,49,49
Participant01,Video01,20240801_200456553198,Right,872,570,78,78
Participant01,Video01,20240801_200503028898,Left,786,448,59,59
Participant01,Video01,20240801_200503028898,Right,873,578,76,76
Participant01,Video01,20240801_200509466184,Left,308,706,98,98
Participant01,Video01,20240801_200509466184,Right,573,709,87,87
Participant01,Video01,20240801_200517833398,Left,1081,655,85,85
Participant01,Video01,20240801_200517833398,Right,1341,634,126,126
Participant01,Video01,20240801_200524536569,Left,1001,678,65,65
Participant01,Video01,20240801_200524536569,Right,1279,640,126,126
Participant01,Video01,20240801_200531206564,Left,620,701,85,85
Participant01,Video01,20240801_200531206564,Right,870,687,112,112
Participant01,Video01,20240801_200537976253,Left,794,655,87,87
